matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
20,0,76561199036860488,AC,Cherryand,21,17,2437,7,0,0,1,7,5,57,2,2,5,0,1865,2437,339,85,0,0,1,1,6,2,94800,0,7800,846,10,91600,0
20,0,76561199069561367,AC,Loong,20,14,2218,9,0,0,1,4,7,344,4,7,2,0,1749,2218,296,62,2,0,1,0,3,2,93150,0,6000,790,10,75000,0
20,0,76561199072829349,AC,Huoreee,19,13,1882,3,0,0,0,5,2,74,2,2,3,2,1619,1882,385,72,0,0,0,0,4,1,91800,0,6600,606,4,71450,5
20,0,76561199386518510,AC,Tino,15,21,1640,4,0,0,0,4,5,29,1,1,5,2,2203,1640,313,49,0,0,0,0,3,0,99050,0,4300,913,6,96300,2
20,0,76561198853894083,AC,XFK,10,18,1702,7,0,0,0,2,5,121,2,2,8,5,1903,1702,277,61,1,0,1,1,7,4,82800,0,3400,965,4,82750,7
20,0,76561198982005015,Spectator,Crad1es,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,76561199814880532,Spectator,SAL observer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,76561199465907634,TP,Truth,26,17,2467,5,0,0,4,3,3,0,0,0,4,2,1984,2467,522,100,1,1,0,0,8,5,92650,0,9900,841,12,84750,3
20,0,76561199436311447,TP,NezAr,18,16,2003,3,0,0,0,3,8,95,1,1,10,8,1897,2003,473,76,2,0,0,0,2,1,86100,0,5700,1106,6,83700,12
20,0,76561199470595903,TP,1ndulge,16,14,2012,4,0,0,1,4,5,16,1,1,3,1,1905,2012,345,62,1,1,1,1,3,3,111000,0,5600,877,3,69750,1
20,0,76561199251885855,TP,Roséar9,11,18,1751,9,0,0,0,3,6,67,1,1,4,2,1887,1751,364,72,0,0,0,0,4,1,80400,0,3600,957,6,79400,3
20,0,76561199465953247,TP,pr1vacy,11,21,1106,3,0,0,0,0,1,0,0,0,11,8,2206,1106,261,33,0,0,0,0,6,4,76300,0,4200,1110,5,73650,9
