matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
16,0,76561198982005015,Spectator,Crad1es,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,76561199814880532,Spectator,SAL observer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,76561199036860488,team_Loong,Cherryand,18,7,2003,6,0,0,1,5,4,102,2,3,2,0,920,2003,190,46,0,0,0,0,5,5,67700,0,5400,304,13,64800,0
16,0,76561199072829349,team_Loong,Huoreee,17,5,1612,2,0,0,1,5,6,58,4,4,4,1,754,1612,266,49,0,0,0,0,2,2,62750,0,6900,337,13,63550,1
16,0,76561199069561367,team_Loong,Loong,14,8,1444,3,0,0,1,3,6,179,3,4,9,6,1014,1444,284,44,0,0,0,0,2,1,66050,0,4500,463,8,65900,8
16,0,76561199049186046,team_Loong,Ez2dIe,12,6,1284,7,0,0,0,2,6,83,2,3,1,1,807,1284,229,44,0,0,1,0,0,0,63800,0,4800,435,8,65100,1
16,0,76561199386518510,team_Loong,Tino,8,9,812,3,0,0,0,1,7,70,4,4,8,4,1007,812,144,15,0,0,0,0,7,3,67350,0,3600,322,3,66150,7
16,0,76561198814454796,team_kirito,5un91e,11,13,1328,2,0,0,0,2,1,51,1,2,4,1,1430,1328,161,45,0,0,2,0,0,0,48300,0,3300,787,4,50000,1
16,0,76561198800592262,team_kirito,Alina,6,15,928,3,0,0,0,1,2,25,1,1,0,0,1449,928,129,35,0,0,0,0,6,3,55700,0,2200,594,2,50250,0
16,0,76561199197128611,team_kirito,kirito,6,15,606,2,0,0,0,0,3,16,1,1,1,0,1478,606,169,23,0,0,0,0,3,1,48500,0,1800,580,1,55700,0
16,0,76561199597181800,team_kirito,tvtml907,6,14,916,2,0,0,0,2,9,106,3,5,0,0,1404,916,215,30,0,0,0,0,0,0,57450,0,2100,574,3,54900,0
16,0,76561199030318238,team_kirito,Lucia,5,13,724,1,0,0,0,1,9,17,2,2,0,0,1394,724,175,26,0,0,0,0,7,1,50500,0,1500,431,4,65450,0
