matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
13,0,76561198982005015,Spectator,Crad1es,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,76561199814880532,Spectator,SAL observer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,76561199465907634,TP,Truth,27,18,2690,7,0,0,3,5,3,132,1,1,16,6,1979,2690,400,89,0,0,0,0,9,7,88250,0,9000,954,14,75350,9
13,0,76561199436311447,TP,Nez,16,17,1797,2,1,0,0,2,8,17,2,2,11,1,1859,1797,421,67,1,0,0,0,6,3,78650,0,5100,1131,5,82700,1
13,0,76561199251885855,TP,Roséar9,15,17,1877,3,0,0,1,1,6,0,0,0,4,3,1777,1877,371,77,1,1,1,0,2,1,81800,0,5700,1016,5,79150,4
13,0,76561199470595903,TP,1ndulge,14,15,1873,5,0,0,2,2,10,12,3,3,5,2,1666,1873,377,60,1,1,5,1,4,2,94050,0,4200,961,4,63050,2
13,0,76561199465953247,TP,pr1vacy,6,21,755,7,0,0,0,0,5,36,1,1,27,16,2168,755,257,33,0,0,2,0,2,1,71100,0,2100,1091,3,66450,28
13,0,76561199059595941,Tpo,imEnvy!,21,16,1999,9,0,1,1,2,8,83,2,2,5,3,1798,1999,408,74,2,1,1,0,7,3,90200,0,6900,669,10,72500,3
13,0,76561199211245173,Tpo,Cheese,21,13,2213,10,0,0,2,2,7,17,2,4,14,8,1554,2213,335,60,0,0,1,0,4,2,106950,0,5700,811,8,77650,16
13,0,76561198831295842,Tpo,云烟Yunyan,16,18,1620,4,0,0,1,4,2,13,1,1,15,8,2017,1620,227,48,0,0,0,0,7,2,95550,0,5100,885,10,77700,12
13,0,76561199055998680,Tpo,Asahi音,15,18,2011,7,0,0,0,4,12,155,3,3,6,1,1856,2011,422,72,0,0,0,0,2,1,92050,0,4800,927,3,73500,2
13,0,76561198868373496,Tpo,JohnnyHe,14,16,1606,4,0,0,0,5,7,11,2,2,11,7,1767,1606,617,41,2,0,0,0,3,1,92400,0,4800,818,14,75450,13
