matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
19,0,76561198982005015,Spectator,Crad1es,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,76561199814880532,Spectator,SAL observer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,76561199465907634,team_Rosar9,Truth,42,23,4148,9,0,3,2,6,12,36,4,5,12,7,2844,4148,718,140,3,1,1,0,7,5,166800,0,12600,1419,21,132950,8
19,0,76561199251885855,team_Rosar9,Roséar9,25,22,3083,11,0,0,2,2,16,14,3,3,4,4,2596,3083,498,114,1,1,1,1,11,4,154450,0,7800,1191,7,140550,4
19,0,76561199470595903,team_Rosar9,1ndulge,24,24,2098,4,0,0,0,6,17,115,5,6,2,0,2567,2098,283,54,1,0,0,0,3,3,183900,0,5600,1679,5,135100,0
19,0,76561199465953247,team_Rosar9,pr1vacy,16,26,2083,12,0,0,1,3,11,87,6,6,37,18,2736,2083,680,76,2,0,2,1,7,2,152350,0,4800,1675,5,137050,25
19,0,76561199436311447,team_Rosar9,NezAr,13,24,2008,7,0,0,0,3,26,340,7,9,17,9,2421,2008,595,65,0,0,0,0,7,3,168600,0,3900,1492,7,139000,11
19,0,76561198853894083,team_Tino,XFK,28,23,2637,10,0,1,2,5,17,478,11,15,21,11,2346,2637,468,70,3,3,1,0,4,3,164750,0,8400,1556,12,135750,18
19,0,76561199072829349,team_Tino,Huoreee,24,22,2688,4,0,0,2,3,9,99,4,4,6,2,2503,2688,505,94,1,0,3,2,4,2,164650,0,7800,1428,11,137450,4
19,0,76561199386518510,team_Tino,Tino,23,28,2209,1,0,1,0,4,20,130,7,10,18,5,2992,2209,368,62,0,0,0,0,10,7,169350,0,7400,1496,8,145200,11
19,0,76561199036860488,team_Tino,Cherryand,21,25,2922,12,0,0,2,3,17,310,10,15,5,3,2913,2922,408,85,0,0,0,0,13,4,155550,0,6400,1596,12,138200,3
19,0,76561199069561367,team_Tino,Loong,20,24,2708,10,0,0,2,2,16,234,11,15,13,7,2666,2708,372,70,3,0,0,0,4,2,172250,0,5800,1724,9,117400,11
