matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
14,0,76561198982005015,Spectator,Crad1es,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,76561199814880532,Spectator,SAL observer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,76561199436311447,TP,Nez,29,16,2305,3,0,0,2,7,8,60,3,3,14,1,1913,2305,396,83,0,0,0,0,2,1,129400,0,8700,993,9,107050,3
14,0,76561199251885855,TP,Roséar9,25,21,2916,6,0,0,3,3,13,116,3,6,0,0,2213,2916,520,110,0,0,0,0,11,7,118650,0,8400,1013,8,139000,0
14,0,76561199465907634,TP,Truth,21,24,2753,12,0,1,0,3,12,5,2,2,5,3,2531,2753,400,91,0,0,0,0,9,5,127150,0,6900,1102,10,110750,3
14,0,76561199470595903,TP,1ndulge,19,19,1630,3,0,0,1,5,8,25,1,1,4,3,2165,1630,298,42,4,0,3,0,5,4,150150,0,4300,1326,8,106450,3
14,0,76561199465953247,TP,pr1vacy,12,23,1369,9,0,0,0,3,9,92,3,6,13,3,2331,1369,405,51,1,0,0,0,2,1,123550,0,3900,1250,3,102550,4
14,0,76561199211245173,Tpo,Cheese,28,19,2453,3,0,0,1,6,3,45,1,2,8,4,1775,2453,250,66,2,2,2,0,2,1,136600,0,6300,1090,3,112250,5
14,0,76561198831295842,Tpo,云烟Yunyan,22,21,2472,6,0,1,1,5,1,0,0,0,6,5,2337,2472,309,72,0,0,2,1,7,2,118600,0,6600,1201,15,112900,11
14,0,76561199059595941,Tpo,imEnvy!,20,26,2326,9,0,0,0,5,3,136,2,3,6,6,2652,2326,381,78,0,0,1,0,12,5,123850,0,6300,1054,4,116400,15
14,0,76561198868373496,Tpo,JohnnyHe,16,21,2116,12,0,0,2,3,2,43,2,2,10,4,2130,2116,505,68,1,1,1,0,8,3,121100,0,4800,896,10,107300,6
14,0,76561199055998680,Tpo,Asahi音,16,20,1786,7,0,0,0,4,2,74,2,2,6,2,2079,1786,399,54,1,1,0,0,0,0,120000,0,5400,852,7,110550,6
